File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations
RED Stripe -01 TSM -  FY22  (English)_30.03.2022.pdf,FY-22,Red Stripe,02/FY22,30.03.2022 Time : Around 12:15 PM,Around 12:15 PM,", Meramandali Odisha","Quality Assurance Department, TSM",Not Found,Fatal incident of a contract employee,Crush injury,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": Deceased Person (DP) Mr. Behera was a pillion rider on a two-wheeler, going from HSM ( Hot Strip Mill) to SMS-1 (Steel Melting Shop) at his workplace. Ahead of them, a coal tar tanker under IBMD (Industrial By- Product Management Department) was going in the same direction. While the tanker took l",1. Deceased person was the pillion. 2. Both were wearing Crash Helmet 3. Both were going for their job of pasting stickers on HR (Hot Rolled) coil from HSM to SMS-1. 4. Tanker belongs to a customer who had come to collect the tar from coke oven under IBMD division. 5. CCTV footage captured about 50 m before the site of accident reveals both the persons on bike were talking on mobile while riding.,Not Found
Red Stripe # 03 TSK (P) - FY22 (English).pdf,FY-22,Red Stripe,03/FY22,08.03.2022 Time: 06:45 PM,06:45 PM,", Engineering & Projects – Kalinganagar","Engineering & Projects, Kalinganagar",Cold Rolling Mill (CRM),Fatal incident of a contract employee,Internal injury in the lower abdomen,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": M/s Offshore Infrastructures Limited was engaged at the CRM Project site for mechanical and piping work. On 8th March 2022, their working team finished work alongside the entry bay area of the Continuous Galvanizing Line and post-closure of the work permit, they were cleaning the area. An F-15 (pi","1. Standard Work Procedure (SWP) was available for the job. Mr Sadanand Behera and the team had completed the day’s work, and the work permit had been returned. 2. F15 crane operator was doing the reverse movement on a downward sloping road. 3. F15 crane operator joined TSK site in January 2022 and has around 5 years of experience.",Not Found
Orange Stripe # 91 _ English.pdf,FY-22,Orange Stripe,91 /FY-22,11.03.2022 Time: 04:10 PM,04:10 PM,", Jamshedpur",Blower Pump House,Not Found,LTI of a company employee,Fracture of fifth metacarpal bone of left hand,Company,Not Found,Not Found,"Blue risk (C3, F3)",5990 Days,No,": On 11th March 2022, the injured person (IP) was engaged in PR-01 pump rotor installation job at ‘C’ Furnace Cooling Plant Pump House. While moving another side of the equipment, the IP jumped over the suction pipe of 500 mm diameter instead of using a cross over bridge provided for the same. In th",1. SOP for the job was available. 2. Illumination at the incident site was found adequate. 3. IP was using all required PPEs.,1. Communication to all concerned employees i. No shortcut should be taken while performing any activities. ii. Always use designated pathway/crossover/staircase for the movement. iii. More emphasis to be put on the reporting of the incident to the concerned personnel. 2. Emphasis on improving the appropriate behaviour at the workplace through a toolbox talk.
Orange Stripe # _92 English_.pdf,FY-22,Orange Stripe,92 /FY-22,05.03.2022 Time: 01:00 PM,01:00 PM,", Engineering & Projects - TGS","ISB, Tata Growth Shop",Not Found,LTI of a contractor employee,Left foot – crush injury with amputation of toes,Contractor,M/s TRF Limited,NA,"Red Risk ( C4, L4)",Not Found,Yes,": On 5th March 2022, the injured person (IP) was on A-shift duty. Goliath Crane # 2 was moving towards the plate storage area for lifting the plate, which was supposed to be loaded on the Proarc cutting machine. Suddenly the crane operator stopped the crane after hearing a loud yelling sound. The op",1. The left foot of IP got entrapped between the Goliath crane wheel and rail. 2. Illumination at the incident site was found adequate. 3. IP was using safety shoe.,1. Hard barricade should be provided on both sides of the rail throughout the length. 2. Optical sensor to be installed on both sides of each leg of Goliath Crane. 3. Wheel guard to be installed.
Orange Stripe # _90 English.pdf,FY-22,Orange Stripe,90 /FY-22,09.03.2022 Time: 07:25 AM,07:25 AM,", Jamshedpur",Hot Strip Mill,Quality Assurance,LTI of a company employee,Fracture of left ankle,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",305,Yes,": On 9th March 2022, the injured person was in on-job training and going downstairs to inspect the coil bottom surface at the Coil dividing line. While going downwards on the stair, he slipped. As a result, his left leg got twisted. He informed his superiors about the incident at around 10 am and su",1. Illumination at the incident site was found adequate. 2. IP was using all required PPEs. 3. Staircase was found free from Oil & Grease.,1. Employees should be attentive while using stairs. 2. High-resolution camera to be installed for coil inspection.
Orange Stripe # 81 English_.pdf,FY-22,Orange Stripe,81 /FY-22,18.01.2022 Time: 05:57 AM,05:57 AM,", Jamshedpur",Inbound Logistics,Not Found,LTI of a contractor employee,Fracture of right Ankle.,Company,M/s Trimurty Industries,3 stars,"Yellow Risk (C3, L4)",Not Found,No,": On 18th Jan 2022, the injured person (IP) was going home after completing 'C' shift duty. While he was crossing the road via zebra crossing near SBI ATM, suddenly a company employee coming to join ‘A’ shift duty on his two-wheeler hit him. As a result, he sustained an injury to his right leg. Imme",1. Road was in good condition. 2. There was foggy weather at the time of the incident. 3. It seems that the two-wheeler employee was in hurry to do In-Punch.,1. All employees should be attentive while driving vehicle inside the workplace and follow the road safety guideline.
Orange Stripe # 80 English_.pdf,FY-22,Orange Stripe,80 /FY-22,15.01.2022 Time: 10:19 PM,10:19 PM,", Jamshedpur","Logistics Operations, TSJ",RMM Operation,LTI of a contractor employee,Fracture of right-hand palm,Contractor,M/s Trimurty Industries,3 Star,"Red Risk (C4, L4)",Not Found,Yes,": On 15th Jan 2022, West Bokaro rake unloading activity was going on at CWT#2. After completing the unloading of the 25th wagon. It was being pushed towards outhaul side by Side Arm Charger to couple it with the empty wagons. During this activity, a jerk was generated. As a result, one of the defect",1. Wagon door was not in good condition also the door latch was found defective. 2. SOP mentions maintaining a safe distance from moving wagons. 3. IP was using all required PPEs. 4. Illumination at the incident site was found adequate.,1. Side Barricading to be shifted away to ensure a maximum safe distance from moving wagons. 2. Mesh to be provided to prevent any body part exposure towards moving wagon beyond the barricading.
Orange Stripe # 73_English.pdf,FY-22,Orange Stripe,73 /FY-22,29.12.2021 Time: 01:50 PM,01:50 PM,", Raw Material Division – West Bokaro",Coal Beneficiation,Washery-2,LTI of a company employee,Hairline fracture in 5th metatarsal bone of left foot,Company,Not Found,Not Found,"Blue Risk (C3, L3)",275 Days,No,"On 29th December 2021, after completing shift duty, injured person (IP) was going towards the attendance punching machine for punch out. While descending through the staircase near Pre-treatment Plant (PTP), IP felt a slight sprain in his left foot. In X-ray, hairline fracture was detected in the 5th metatarsal bone of the left foot. Risk Type : Blue Risk (C3, L3) Last date of Incident (LTI) of department : 29.03.2021 Incident (LTI) free days : 275 Days Under camera surveillance : No",1. IP was using all required PPEs. 2. Illumination at the incident site was found adequate. 3. Staircase was having adequate handrails and toe guards.,1. Behavioural safety training on attentiveness to be given to all concerned employees.
Orange Stripe # 67_English.pdf,FY-22,Orange Stripe,67 /FY-22,22.12.2021 Time: 09:25 PM,09:25 PM,", Raw Material Division – West Bokaro",Quarry-AB,Not Found,LTI of a company employee,Cut injury in Right-hand index finger.,Company,Not Found,Not Found,"Blue Risk (C3, L3)",337,No,": On 22nd December 2021, the injured person (IP) was deployed in EX01 excavator at VI OB Sec D. A problem in a ladder operation (not working smoothly) of the excavator was reported by IP at around 05:30 PM. This problem was attended by OEM (Tata Hitachi) and rectified. The equipment was operated by",1. Excavator Ladder was found stuck at the end of shift. 2. SOP was not followed. (Did not inform the concerned Supervisor about the abnormality in the ladder),1. Ladder (other than spring loaded) to be explored and replaced in Ex01 and other Ex-2500 excavators in consultation with OEM.
Orange Stripe # 64_English.pdf,FY-22,Orange Stripe,64 /FY-22,01.12.2021 Time: 02:00 PM,02:00 PM,", Jamshedpur Works",LD#2 & SC,Not Found,LTI of a company employee,Pain in right hand wrist joint,Company,Not Found,Not Found,"Yellow Risk (C3, F2)",317,No,": On 1st December 2021, the injured person (IP) was coming to attend B-shift duty on his two-wheeler. While reaching the MHS Punching machine area of LD#2 & SC, as he took a left turn his two-wheeler skidded on a small piece of slag debris lying on the road. As a result, he fell on the road and sust","1. Condition of the Road was found good, but a few small pieces of slag were lying on the road. 2. IP was wearing a crash helmet at the time of incident.",1. Counselling to the concerned employee to be done at the departmental level for Safe Driving. 2. Regular cleaning of the road needs to be ensured.
Orange Stripe # 63_ English.pdf,FY-22,Orange Stripe,63 /FY-22,28.11.2021 Time: 11:15 PM,11:15 PM,", Kalinganagar",Coke Plant,Not Found,LTI of a company employee,Partial amputation of right leg foot,Company,Not Found,Not Found,"Red Risk (C4, F2)",1204,No,": On 28th November 2021, the injured person (IP) was doing routine checking of material flow through the inspection door of Rotary Air seal valve – 2 (RAV-2). However, it appears that he did not follow the SOP and did not maintain the safe distance. As a result, his right foot got trapped in RAV and",1. The IP was using all required PPEs. 2. Illumination at the incident site was found adequate.,1. Grating should be provided in between moving blades and the inspection cover to eliminate the risk of material getting stuck up. 2. Identification of all manual activity in the hazardous area of TSK O&M and elimination of these activities through digital/engineering controls.
Red Stripe # 01 TML FY22 (English)_.pdf,FY-22,Red Stripe,TML - 01/FY22,26.10.2021 Time : 05:50 PM,05:50 PM,Project Construction area (New Mould Shop),Projects - DI Pipes Expansion,Not Found,Fatal incident of a contract employee,Head & Spine injury,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": On 26th Oct 2021, the deceased person (DP) was engaged as a flagman to guide and position the dumper carrying soil for refilling. After positioning the dumper for unloading of soil, he stood near the pipes stacked on the ground for project work. While the dumper was getting unloaded, he moved back",1. DP was standing on the left side of the dumper after positioning. 2. Construction pipes were kept at the site without proper barricading and signage. 3. Illumination at the incident site was found inadequate.,1. Reinforce training on Six directional hazards among the workforce. 2. Backfilling and soil dumping activities to be avoided after sunset/at night. 3. Areas where material is kept for project construction is to be barricaded properly.
Orange Stripe # 60 English.pdf,FY-22,Orange Stripe,60 /FY-22,21.10.2021 Time: 09:15 AM,09:15 AM,", Raw Material – OMQ Division",Equipment Maintenance,Not Found,LTI of a company employee,Fracture of phalanx of right hand little finger,Company,Not Found,Not Found,"Blue Risk (C3, F3)",NA,No,": On 21st Oct 2021, the injured person (IP) along with his colleague was deputed for the troubleshooting job of the air compressor in the general shift. the positive isolation was ensured at the site. IP was trying to pull the compressor belt. In this process, his right-hand little finger got entang",1. The IP is having more than 30 years of work experience. 2. The process of manually rectifying the compressor belt and pulley is not mentioned in the existing SOP. (SOP No- QEHSMS/446/P3370 NIM) 3. Illumination at the incident site was found inadequate. 4. The IP was not using hand gloves during the time of the incident.,"1. SOP for operation of air compressor (ELGI make) should be revised and the troubleshooting procedure for attending V-belt jamming should be included in it. 2. Training shall be imparted to concerned employees regarding commonly accepted unsafe practices (CAUP). 3. Guarding of V-belt should be done in such a way that, without removing the guard, no one can touch it."
Red Stripe # 01 TSTH - FY22 (English) (2).pdf,FY-22,Red Stripe,TSTH - 01/FY22,26.10.2021 Time : 10:40 AM (Local time),10:40 AM (Local time),(Thailand) Public Company Limited – SISCO Plant,Maintenance,Not Found,Fatal incident of a contract employee,Damaged chest with multiple fractures at right arm and leg,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": On 26th October 2021, a preventive maintenance contractor team comprising of one supervisor and four workmen went up to the steel plant rooftop area for lubricating the canopy duct damper mechanism and inspection of the expansion joint. After finishing the job of 3rd damper with a safety harness a","1. Deceased person was working with M/s Nessman for last 1.5 months. However, he has worked at other companies for several years. 2. All team members were trained on the required safety standard and passed the health check-up requirements for working at height. 3. All were using the required PPEs. 4. The rusted metal sheets in that area are more than 5 years old. It’s a no-man land. There was a plan to repair the same because of water leakage during rains.",Not Found
Orange Stripe # 57 English.pdf,FY-22,Orange Stripe,57 /FY-22,05.10.2021 Time: 05:45 PM,05:45 PM,", Engineering & Project - TSK",Planning & Budgeting,IM section,LTI of a contractor employee,Fracture of left leg,Contractor,M/s TM International logistic ltd.,NA,"Blue Risk (C3, F3)",Not Found,No,": On 05th Oct 2021, the injured person (IP) was engaged in the unloading of pipe fittings materials. There was a stack of 36 blind flanges along with other materials on the truck bed. Out of 36 blinds flanges, 24 blind flanges were already unloaded. During making space to provide wooden dunnage belo",1. Illumination at the incident site was found adequate. 2. SWP was available for the job. 3. Work permit was taken for the job. 4. The stack of blind flanges was kept in unstable condition on the vehicle. 5. The surface of the material was found greasy. 6. IP was using all required PPEs. 7. Weight of a single piece of the flange was approx. 242 Kg.,1. Proper packing and unitization for loose materials to be followed during supply and transportation. 2. Workers need to be more vigilant during loading and unloading activities.
Orange Stripe # 52 English_ .pdf,FY-22,Orange Stripe,52 /FY-22,09.09.2021 Time: 08:05 PM,08:05 PM,", Jamshedpur – Steel Manufacturing",Lime Plant,"Lime Plant, Operation",LTI of a company employee,Fracture of right ankle,Company,Not Found,Not Found,"Blue Risk (C3, F3)",Not Found,No,": On 9th September 2021, the injured person (IP) was deputed in LC-19 conveyor as a belt attender to fill the product bin of kiln1-7. At around 8:05 pm, while IP was going for checking the product bin level at LC-19 conveyor gallery, his right leg got twisted on the cross over made over LC-19 rail t",1. Handrail of staircase was found in good condition. 2. Illumination at the incident site was found adequate.,1. All employees should use handrails while walking on the staircase and a three-point contact rule must be followed.
Orange Stripe # 53 English_.pdf,FY-22,Orange Stripe,53 /FY’22,29.09.2021 Time: 01:00 PM,01:00 PM,", Jamshedpur Works",Learning & Development,Not Found,LTI of a company employee,Fracture in left tibia spine,Company,Not Found,Not Found,"Blue Risk (C3, F3)",789 Days,Yes,"On 29th September 2021, the injured person (IP) was going for lunch from TSCR to her residence. On the way near Merchant Mill office, while IP was passing through the level crossing, her 2-wheeler got skidded. As a result, IP fell on the road resulting in an injury to her left knee. IP was immediate","1. When IP reached the level crossing, she started moving towards the right side of the road. In this process, she came parallel to the rail track. 2. IP was driving the vehicle within the specified speed limit. 3. Road condition was found good. 4. Rail track is crossing the road at an angle which is creating such a skidding hazard. 5. Tyre condition of the vehicle was found good.","1. Communication on ‘how to cross the level crossing safely’ to be organised. 2. For new joiners, safe driving techniques are to be imparted during the induction phase itself. 3. Explore the feasibility of providing rubberized level crossing at critical locations."
Orange Stripe # 51 English.pdf,FY-22,Orange Stripe,51 /FY-22,13.09.2021 Time: 12:30 AM,12:30 AM,", Jamshedpur – Shared Services",Equipment Maintenance Services,Central Service Station (East),LTI of a company employee,Swelling on left ankle.,Company,Not Found,Not Found,"Blue Risk (C3, F3)",Not Found,Yes,": On 13th September 2021, the injured person (IP) was in ‘C’ shift duty. He went to inspect the Euclid Dumper No - 137 which was parked near LD#3 scrap dumping area. After inspection, while he was getting down from the dumper, he became unbalanced resulting in an injury to his left ankle. IP was imm",1. IP was following the three-point contacts rule while getting down from the vehicle. 2. Floor condition at the incident site was found unsafe. 3. Illumination at the incident site was found adequate.,1. Inspection of the vehicle should be conducted at the designated place of the customer site. 2. All employees should be attentive while getting up/down from the vehicle.
Orange Stripe # 50 English.pdf,FY-22,Orange Stripe,50 /FY-22,08.09.2021 Time: 06:10 AM,06:10 AM,", Jamshedpur – Iron Making",Coke plant -By product plant,Old BPP,LTI of a company employee,Pain in Left-hand thumb,Company,Not Found,Not Found,"Blue Risk (C3, F3)",Not Found,No,": On 8th September 2021, the injured person (IP) was returning home after completing his duty. Near coke plant main road and battery#3 corner, his bike got skidded. As a result, he fell on the road and sustained an injury. IP felt pain in his left-hand thumb and visited TMH emergency at around 11:15",1. IP was using crash helmet. 2. Illumination at the incident site was found adequate.,"1. All employees should follow the Safe Driving techniques, slowing down the vehicle especially at islands, near check houses etc. 2. Promoting employees to fill their 2-wheeler fitness declaration form."
Orange Stripe # 49 English_ .pdf,FY-22,Orange Stripe,49 /FY-22,11.09.2021 Time: 03:30 AM,03:30 AM,", Jamshedpur – Engineering & Projects",Town Security,TGS Security,LTI of a contractor employee,Blunt injury of right leg,Contractor,M/S SIS,NA,"Yellow (C3, F2)",Not Found,No,": On 11th Sept 2021, the injured person (IP) was deployed at 2.5 post with a dog, sustained an injury to his right leg while he was patrolling at the fabrication yard. He was taken first to the MGM hospital emergency by the shift security supervisor, but later shifted to TMH emergency where first ai",1. IP was sitting outside his duty post in an unsafe place. 2. Illumination at the incident site was found adequate. 3. he was sitting on a chair by keeping his feet near the rails of the crane and was unaware of the crane movement.,1. Safe patrolling path to be developed as well as scraps lying near perimeter wall to be removed. 2. A system of taking a situation report from MDFY & Project site in every 2 hours should be developed and its record to be maintained by General Duty - TGS Control room in charge.
Orange Stripe # 47 English_.pdf,FY-22,Orange Stripe,47 /FY-22,20.09.2021 Time: 03:00 PM,03:00 PM,", Jamshedpur – Shared Services",Field Maintenance Electrical Maintenance,MED-Electrical Repair Shop,LTI of a contractor employee,Fracture of left foot,Contractor,M/s OM Enterprises,3 Star,"Yellow Risk (C3, F2)",Not Found,No,": On 20th Sept 2021, the injured person (IP) was engaged in the scrapping of a heavy rack made of 50mm MS angle. IP was trying to lift this rack along with three other persons to place the wooden packing below the rack for gas cutting. They lifted the one side of the rack manually up to a height of",1. Manual material handling was done even if the rack approximate weight is around 400kg. 2. Illumination at the incident site was found adequate. 3. Material Handling SOP was available at site.,1. Material handling should not be carried out manually if the weight of the material is more than 25kg.
Orange Stripe # 42 English.pdf,FY-22,Orange Stripe,42 /FY-22,31.08.2021 Time: 11:15 AM,11:15 AM,Kalinganagar – Engineering & Projects,"Air Separation Unit 2, TSK Projects",Not Found,LTI of a contractor employee,Cut injury in left hand index finger,Contractor,M/s TSUISL,4 Star,"Blue Risk (C3, F3)",Not Found,Yes,": On 31st August 2021, M/s Tata Steel Utilities and Infrastructure Services Ltd (TSUISL) was engaged in civil works of the Air Separation Unit. The injured person (IP) was preparing shuttering boards by using a ply cutting machine. A small wooden piece was stuck in the machine. While the IP was tryi",1. IP was using all required PPEs. 2. Cutting machine was found in good condition.,1. Do’s & Don’ts for power tools and equipment usage needs to be strengthened. 2. Site supervision to be strengthened.
RED Stripe # 01 TSL(I) -  FY22 _ TSK  (English)_ .pdf,FY-22,Red Stripe,01/FY22,25.08.2021 Time : Around 08:45 AM,Around 08:45 AM,", Engineering & Projects - Kalinganagar","Engineering & Projects, Kalinganagar",Pellet Plant Mechanical Construction,Fatal incident of a contract employee,Injury on Neck,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": On 25th August 21, erection of rafter beam in JH-21 junction house under Pellet Plant project was planned, as a part of ongoing industrial structure erection work at Kalinganagar. Accordingly work permit (ID:174531) was issued to M/s. iRISE. After tool box talk, a rigger cum operator, Deceased per","1. Deceased person was positioning manlifter at work site. 2. He had 4 years of working experience on construction site, prior to coming to Tata Steel Kalinganagar. 3. He was certified operator by International Powered Access Federation (IPAF). 4. This was planned job and work permit was issued in i3M system (Integrated Man, Machine & Materials). 5. Illumination at site was in good condition (day light). 6. The control of the manlifter was with the DP himself.",Not Found
Orange Stripe # 31 English.pdf,FY-22,Orange Stripe,31 /FY-22,14.07.2021 Time: 11:50 AM,11:50 AM,Jamshedpur – Shared Services,Iron Making Mechanical Maintenance (H – Blast Furnace),H-Blast Furnace,LTI of a contractor employee,Fracture of right foot,Contractor,M/s Sri Ganesh Construction,4 Star,"Yellow Risk (C3, F2)",Not Found,No,": On 14th July 2021, the injured person (IP) was engaged in INBA#1 scrap (slow down box) dismantling work. Dismantling of scrap was being done using gas cutting. IP was standing beside the slowdown box during gas cutting job. In the meantime, one portion of slowdown box got toppled on IP’s right foo",1. Illumination at the incident site was found adequate. 2. Work permit was taken for the job. 3. SOP for the job was available. 4. IP was using all required PPEs.,1. Strengthen the system of hazard identification and risk mitigation before starting the job. 2. Check feasibility of execution of such jobs in fabrication yard.
Orange Stripe # 22 English.pdf,FY-22,Orange Stripe,22 /FY-22,20.06.2021 Time: 04:00 PM,04:00 PM,", Jamshedpur – Shared Services",Iron Making Electrical Maintenance – Coke Plant,Not Found,LTI of a company employee,Hairline fracture on left foot,Company,Not Found,Not Found,"Yellow Risk (C3, F2)",Not Found,Yes,": On 20th June 2021, the injured person (IP) was going to provide power connection to the belt joint heater fixed at K1A conveyor near CDQ auxiliary building along with his colleague. While moving towards the conveyor, his left foot got twisted due to uneven surface resulting in an injury to his lef",1. Illumination at the incident site was found adequate. 2. There was uneven surface near the pathway. 3. Housekeeping in the area was well maintained.,1. Identify Slip/Trip/Fall Hazards and take corrective action for such observations. 2. Refresher training on Slip/Trip/ fall to be given to all employees of Batt#567 -Coke Plant 3. Quality of road repair should be such that there is no uneven surface more than 0.5 inches.
Orange Stripe # 21 English (new).pdf,FY-22,Orange Stripe,21 /FY-22,23.06.2021 Time: 05:35 PM,05:35 PM,", Jamshedpur – Engineering & Projects",Tata Growth Shop,Assembly Section,LTI of a contractor employee,Fracture of right leg,Contractor,M/s Smart Engineering,NA,"Yellow Risk (C3, F1)",Not Found,NO,": On 23rd June 2021, the injured person (IP) was operating the EOT crane with remote for shifting the gantry portal. During shifting the gantry portal, it struck on his right leg resulting in an injury on his right leg. IP was immediately taken to First Aid Centre and then referred to TMH for furthe",1. Crane operator was working with remote operated EOT crane. 2. Housekeeping in the area was found adequate. 3. Illumination at the incident site was found adequate. 4. Job was being supervised.,"1. Six directional hazards analysis should be done before starting the job. 2. Correct slinging method should be adopted, keeping in view the weight and centre of gravity of the load."
Orange Stripe_Angul_05.07.2021.pdf,FY-22,Orange Stripe,Not Found,05.07.2021 Time: 09:20 Hrs,09:20 Hrs,"BSL Limited, Angul",CRM,GP-3 (Production),Lost Time Injury,Crush injury in tip of ring finger and lacerated cut in little finger,Not Found,Not Found,Not Found,"R3 (C3, F3)",Not Found,No,": Welding activity of 0.423X1355mm width coil with 0.38X900 mm coil was in process at entry section. During indexing, the head end of the coil stuck in the in the gap in support table. While IP was trying to remove the sheet with his hand, the Entry Operator operated the pinch roll no-4 in reverse d",1. Control stop was not available. 2. Hazard in reverse movement was not identified. 3. IP was using proper PPE’s. Photograph/Diagram:,1. Use of Auto centering unite for guiding/matching the sheet. 2. Use of tool for guiding/matching sheet during welding till Auto centering unite is not installed. 3. Control stop will be used during use of hand for guiding/matching sheet during ultra-thin gauge welding.
Orange Stripe # 19 English.pdf,FY-22,Orange Stripe,19 /FY-22,07.06.2021 Time: 12:30 PM,12:30 PM,", Jamshedpur – Shared Services",MED Mechanical,Structural Inspection,LTI of a contractor employee,Head injury and fracture in collar bone,Contractor,M/s Specialty Products and Services (SPSI),3 Star,"Red Risk (C4, F2)",Not Found,No,": On 7th June 2021, the injured person (IP), L1- IRATA Certified technician, was engaged in structural inspection of conveyor trestle of C-24. While inspection, the rope through which he was getting support got entangled with a moving dumper which belongs to M/s UAE. The rope got snapped and the IP",1. The incident site was not barricaded. 2. Flag man was present at the incident site. 3. Standard operating procedure (MEDM/SI/SOP/04) and Work Permit (110002533849) were found at the site. 4. IP was using all required PPEs.,1. Only IRATA certified competent vendors to be engaged in rope access jobs. 2. Full road barricading must be done for all rope access jobs over the road. 3. Flag man to be placed 50 m away from work area towards incoming vehicle movement. 4. A pre-start-up check list to be developed & implemented before issue of work permit for rope access jobs.
RED Stripe 01 FY22.pdf,FY-22,Red Stripe,01/FY22,03/07/2021 Time : Around 10:50 AM,Around 10:50 AM,", Tubes Division",Maintenance & Utility General Services (UGS),Utility General Services (UGS),Dead body of a contract worker found in clarifier tank of Effluent,Details will be available after postmortem,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,": On 03.07.2021, at about 10:50 AM, two contract workers of M/s Murat Construction went to collect the water sample from clarifier tank of Effluent Treatment Plant. After reaching the site, they found one unknown dead body floating on the water near the clarifier bridge. Immediately, clarifier tank",Not Found,Not Found
Orange Stripe # 14 English.pdf,FY-22,Orange Stripe,14 /FY-22,24.05.2021 Time: 12.00 PM,12.00 PM,", Kalinganagar",Product Technology,Quality Assurance (QA),LTI of a contractor employee,Fracture on left-hand ring finger,Contractor,M/s Prayog Ventures,3 Star,"R3 (C3, F3)",Not Found,No,": On 24th May 2021, injured person (IP) was engaged in shifting loose materials from the HSM Lab roof, as a cyclone preparation work. While shifting scaffolding with the help of the other two persons, his left-hand ring finger got pressed by the connecting pipe in scaffolding resulting in an injury.",1. IP was using leather hand gloves. 2. Illumination at the incident site was adequate.,1. Material shifting activity will be done under supervision of the supervisor and old materials will be inspected thoroughly before shifting.
Orange Stripe # 04 English.pdf,FY-22,Orange Stripe,04 /FY-22,08.04.2021 Time: 11:50 AM,11:50 AM,", Jamshedpur – Shared Services",Iron Making Mechanical Maintenance,Battery 10 & 11,LTI of a contractor employee,Laceration on left hand ring finger,Contractor,M/S Vivek Construction,4 Star,"R3 (C3, F3)",Not Found,NO,": On 8th April 2021, the injured person (IP) was engaged in BC#104 drive changing job of coke circuit. The coupling jaw hub was being disengaged using a wedge and hammer, IP was handling the wedge while another vendor employee was hammering to create gaps. During hammering, a wedge got slipped from","1. IP was handling the wedge manually. 2. There was long handle wedge available at site, but instead of using this, the IP was using a wedge having no handle. 3. Positive isolation of conveyor drives was ensured. 4. SOP was available for the job at the incident site. 5. The IP was wearing hand gloves and all necessary PPEs. 6. Illumination at the incident site was adequate.",1. Exploring the standard tackles to disengage the coupling jaw hub for the elimination of hazards associated with the wedge & hammer. 2. SOP to be revised by mentioning the exact tools and tackles to be used for the job. 3. Identify all similar types of practices in the department and eliminate the hazards associated with them in a systematic manner.
ORANGE STRIPE 33-FY25_ENG.pdf,FY-25,Orange Stripe,33/FY-25,30-07-2024 Time: 12:33 PM,12:33 PM,Jamshedpur,"Iron Making Elect. Maintenance, Shared Services",Coke Plant,LTI of a company employee,Fracture in left ankle,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",960 days,Yes,"On July 30, 2024, IP (Injured Person) was going to his residence for lunch on his two-wheeler. At the OHS island, a car from Digi Wheels approached from the petrol pump side and accidently collided with the two-wheeler. As a result, the IP fell on the road and sustained injury to his left ankle. He was taken to the West Plant First Aid for",1. Both the car and the two-wheeler did not slow down while approaching at the island as captured in CCTV.,1. One must ensure to conduct regular basic checks and maintenance practices to ensure their vehicles are in good working condition. 2. Departments to ensure imparting defensive driving training to employees to enhance road safety.
Orange Stripe#09-FY25-TSG-English.pdf,FY-25,Orange Stripe,09/FY-25,06-05-2024 Time: 07:40 AM,07:40 AM,Gamharia,Steel Melting Shop-3 (SMS),EOT Crane,LTI of a company employee,Multiple fracture in right leg ankle,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",70 days,No,": On May 06, 2024, the operations team reported an issue with 80/20T Crane-1 main hoist. The mechanical maintenance team investigated and found that the crane wire rope was overlapped on the drum. To address this, the main hoist of the crane was lowered and raised simultaneously. IP (Injured Person)","1. IP was wearing all the required personal protective equipment (PPE). 2. The wire rope was overlapped on drum, so lowering and hoisting was done to reposition the rope on groove. 3. Rotating part of the Tacho coupling, and shaft was unguarded.","1. Immediately, guards should be installed on all rotating parts. 2. Unwanted material should be removed from crane gantry. 3. All the crane gantry of the entire plant should be audited to deploy the recommendations."
"Orange Stripe#11-FY25-Blooming Mill, TSG-English.pdf",FY-25,Orange Stripe,11/FY-25,12-05-2024 Time: 4:05 PM,4:05 PM,Gamharia,"Blooming Mill, TSG",Operation-Roll assembly,LTI of a company employee,Fracture in right wrist radius bone,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",192 days,Yes,": On May 12, 2024, IP (Injured Person) was in B-shift. He was engaged in assembly work. During assembling, IP moved his sitting stool to match the center bolt. After aligning the hole, he forgot to return the stool to its proper position and attempted to sit, causing imbalance. Subsequently, he fell",1. The incident occurred because of the lack of awareness or oversight regarding the position of the sitting stool after it was moved.,1. Adjustable arrangement should be provided for either equipment. 2. Study the ergonomic way of working postures at Roll assembly area.
